gbifID	latlon	name	best	species
3174004274	fernandina	fernandina	fernandina	Oceanites gracilis
2242778583	-	-	-	Zalophus wollebaeki
1755801721	santiago	santiago	santiago	Mimus parvulus
1057547437	-	san cristobal	san cristobal	Echinolittorina atrata
1193583981	santiago	santiago	santiago	Anas bahamensis
2088504880	isabela	isabela	isabela	Calidris alba
1776159852	santiago	santiago	santiago	Phoenicopterus ruber
1789323406	espanola	espanola	espanola	Anous stolidus
2664922465	bartolome	bartolome	bartolome	Butorides striata
1185847638	baltra	santa cruz	baltra	Phalaropus lobatus
974854152	genovesa	genovesa	genovesa	Phaethon aethereus
3683820519	-	isabela	isabela	Sula granti
2178023175	santa cruz	santa cruz	santa cruz	Geospiza fuliginosa
1287813016	darwin	-	darwin	Johnrandallia nigrirostris
970106394	santiago	santiago	santiago	Crotophaga ani
977709903	seymour	seymour	seymour	Butorides striata
2100328385	-	santa cruz	santa cruz	Fregata magnificens
4063030137	santiago	santiago	santiago	Prionurus laticlavius
2866836108	espanola	-	espanola	Microlophus delanonis
2089169122	isabela	isabela	isabela	Anous stolidus
3855266464	pinzon	-	pinzon	Parkinsonia aculeata
1785978261	santiago	santiago	santiago	Ardea herodias
543446403	santa fe	santa fe	santa fe	Microlophus albemarlensis
3855269140	floreana	-	floreana	Lamiaceae
2693296824	san cristobal	san cristobal	san cristobal	Geospiza fuliginosa
583479464	-	isabela	isabela	Mimus parvulus
3575838049	baltra	baltra	baltra	Geospiza fortis
970815409	santa cruz	santa cruz	santa cruz	Charadrius semipalmatus
575699508	bartolome	bartolome	bartolome	Ardea alba
1840630938	pinta	pinta	pinta	Physarum bogoriense
3294467134	isabela	isabela	isabela	Creagrus furcatus
2128817749	floreana	-	floreana	Calidris minutilla
